hostname;port;description
swGPD-S2;gi1/0/10;VOIP_130.6
swGPD-SA;te1/0/15;swGPD-S1
swLPD-2B-3;gi1/0/10;PC_MSZALEK
swGPD-S1;gi1/0/13;AP_GPD-S1-13
swGPD-SA;te1/0/16;swLPD-2B-1
swGPD-S2;gi1/0/11;VOIP_130.39
swLPD-1B-1;gi1/0/17;AP_LPD-1B-17
swLPD-2B-3;gi1/0/11;PC_JKLIMZA
swGPD-S1;gi1/0/14;PC_RSTEZALY
swGPD-SA;te1/0/17;swLPD-3B
swGPD-S2;gi1/0/12;PC_MTYRA-M
swLPD-1B-1;gi1/0/18;AP_LPD-1B-18
swLPD-2B-3;gi1/0/12;D_10.30
swGPD-S1;gi1/0/15;AP_GPD-S1-15
swGPD-SA;te1/0/18;swGPD-SER-SW
swGPD-S2;gi1/0/13;PC_KZTYLZANOWSKI-M2
swLPD-1B-1;gi1/0/19;AP_LPD-1B-19
swLPD-2B-3;gi1/0/13;PC_MSZABELSKI
swGPD-S1;gi1/0/16;PC_PLUBOWSKI
swGPD-SA;te1/0/19;swGPD-S3
swGPD-S2;gi1/0/14;PC_MCICHECKI-M
swLPD-1B-1;gi1/0/20;D_10.13
swLPD-2B-3;gi1/0/14;PC_EGMYREK-M
swGPD-S2;gi1/0/16;PC_JPASZKO-M
swGPD-S1;gi1/0/17;PC_RPECZEK
swGPD-SA;te1/0/20;swLPD-M
swLPD-1B-1;gi1/0/21;AP_LPD-1B-21
swLPD-2B-3;gi1/0/15;VOIP_130.34
swGPD-S2;gi1/0/17;D_10.5
swGPD-S1;gi1/0/18;PC_WPINKOWSKI
swLPD-1B-1;gi1/0/22;PC_MKROLIK-M
swGPD-SA;te1/0/22;MIRJAN24-PRIMARY-STACK2
swLPD-2B-3;gi1/0/16;PC_LSLOWIKOWSKI
swGPD-S2;gi1/0/18;PC_EBIALEK-M
swGPD-SA;te1/0/23;swIneaCWMroczen
swGPD-S1;gi1/0/19;PC_MPIETRAS
